date,hour,department,demand
2026-08-19 01:00:00,1,ADMISSION,0.2615446599963168
2026-08-19 01:00:00,1,ANAESTHESIA,0.0004894227732387
2026-08-19 01:00:00,1,Audiology,0.0061726256108759
2026-08-19 01:00:00,1,CARDIOLOGY,0.0004894227732387
2026-08-19 01:00:00,1,CASUALTY,0.0294735180883501
2026-08-19 01:00:00,1,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),1.7688309738133832
2026-08-19 01:00:00,1,DAYCASE,0.2544502631486973
2026-08-19 01:00:00,1,DENTAL,0.977934026511606
2026-08-19 01:00:00,1,DIABETIC CLINIC,0.0004894227732387
2026-08-19 01:00:00,1,EYE CLINIC,0.2959822979442676
2026-08-19 01:00:00,1,FAMILY CLINIC,0.0004629283637439
2026-08-19 01:00:00,1,FAMILY MEDICINE,0.0013855107639608
2026-08-19 01:00:00,1,GENERAL OPD ,14.860156418113789
2026-08-19 01:00:00,1,Gen Surg OPD,0.1921297053389657
2026-08-19 01:00:00,1,Gynae OPD,0.0004629283637439
2026-08-19 01:00:00,1,HTS,0.0004894227732387
2026-08-19 01:00:00,1,MATERNITY NURSERY,0.0004894227732387
2026-08-19 01:00:00,1,MCH,2.050101934774731
2026-08-19 01:00:00,1,MEB PHYSIOTHERAPY,0.0004894227732387
2026-08-19 01:00:00,1,MEB SPECIALITY CLINIC,0.3855876842689798
2026-08-19 01:00:00,1,MENTAL HEALTH,0.0004894227732387
2026-08-19 01:00:00,1,MORGUE,0.0004894227732387
2026-08-19 01:00:00,1,NEURO SURGERY CONSULTATION,0.0004894227732387
2026-08-19 01:00:00,1,NEUROSURGERY,0.4626460727109118
2026-08-19 01:00:00,1,NUTRITION,0.2298222050839471
2026-08-19 01:00:00,1,OCCUPATIONAL THERAPY,0.0069548646124112
2026-08-19 01:00:00,1,OHNS,0.3236242578466051
2026-08-19 01:00:00,1,ONCOLOGY,2.3677947652571825
2026-08-19 01:00:00,1,Ortho OPD,0.1878390154285438
2026-08-19 01:00:00,1,PAEDS,0.0004894227732387
2026-08-19 01:00:00,1,PAEDS BKKH,2.645506989212941
2026-08-19 01:00:00,1,PALLIATIVE,0.0020570316176379
2026-08-19 01:00:00,1,PATHOLOGY,0.0004894227732387
2026-08-19 01:00:00,1,PEDIATRIC NEUROLOGY,0.0004894227732387
2026-08-19 01:00:00,1,PHYSIOTHERAPY,0.517037481624327
2026-08-19 01:00:00,1,PRIVATE CLINIC,0.3875243098707266
2026-08-19 01:00:00,1,PSYCHOLOGY,0.3414255926834205
2026-08-19 01:00:00,1,RENAL,0.0
2026-08-19 01:00:00,1,RESPIRATORY CENTER,0.0004894227732387
2026-08-19 01:00:00,1,SPECIALITY CLINIC,1.485598111095304
2026-08-19 01:00:00,1,TELEMEDICINE,0.0054990678675711
2026-08-19 02:00:00,2,ADMISSION,0.6698418265460968
2026-08-19 02:00:00,2,ANAESTHESIA,0.1928485619457723
2026-08-19 02:00:00,2,Audiology,0.1038478758984408
2026-08-19 02:00:00,2,CARDIOLOGY,0.1273816414501629
2026-08-19 02:00:00,2,CASUALTY,0.093131865803844
2026-08-19 02:00:00,2,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),0.0
2026-08-19 02:00:00,2,DAYCASE,0.1700191858585885
2026-08-19 02:00:00,2,DENTAL,0.279882178081217
2026-08-19 02:00:00,2,DIABETIC CLINIC,0.1273816414501629
2026-08-19 02:00:00,2,EYE CLINIC,0.2866173887836042
2026-08-19 02:00:00,2,FAMILY CLINIC,0.1273551470406681
2026-08-19 02:00:00,2,FAMILY MEDICINE,0.1315016050780292
2026-08-19 02:00:00,2,GENERAL OPD ,15.920413545903443
2026-08-19 02:00:00,2,Gen Surg OPD,0.2019040645967251
2026-08-19 02:00:00,2,Gynae OPD,0.1273551470406681
2026-08-19 02:00:00,2,HTS,0.1928485619457723
2026-08-19 02:00:00,2,MATERNITY NURSERY,0.1273816414501629
2026-08-19 02:00:00,2,MCH,0.0
2026-08-19 02:00:00,2,MEB PHYSIOTHERAPY,0.1928485619457723
2026-08-19 02:00:00,2,MEB SPECIALITY CLINIC,0.4722063552833204
2026-08-19 02:00:00,2,MENTAL HEALTH,0.1928485619457723
2026-08-19 02:00:00,2,MORGUE,0.1928485619457723
