week,department,demand
2026-08-18,ADMISSION,267.836912658703
2026-08-18,Audiology,12.40140792520254
2026-08-18,CARDIOLOGY,1.0369481059769396
2026-08-18,CASUALTY,38.34490571839317
2026-08-18,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),234.6170644622973
2026-08-18,DAYCASE,52.048725591667065
2026-08-18,DENTAL,92.58090718713224
2026-08-18,DIABETIC CLINIC,0.8524624516379508
2026-08-18,EYE CLINIC,54.82225145417994
2026-08-18,FAMILY CLINIC,1.2738853958521654
2026-08-18,FAMILY MEDICINE,1.615214847905306
2026-08-18,GENERAL OPD ,783.3246981293505
2026-08-18,Gen Surg OPD,47.8302947218954
2026-08-18,Gynae OPD,1.0915681717358592
2026-08-18,MATERNITY NURSERY,0.861737892228379
2026-08-18,MCH,255.98316752766345
2026-08-18,MEB SPECIALITY CLINIC,270.119218798046
2026-08-18,MORGUE,1.2356920935403015
2026-08-18,NEURO SURGERY CONSULTATION,0.8154985513597579
2026-08-18,NEUROSURGERY,27.353641429655127
2026-08-18,NUTRITION,8.331945366554248
2026-08-18,OCCUPATIONAL THERAPY,5.881340259340267
2026-08-18,OHNS,71.43533551990063
2026-08-18,ONCOLOGY,123.57575429059258
2026-08-18,Ortho OPD,1.973307923103428
2026-08-18,PAEDS BKKH,89.95975581967636
2026-08-18,PALLIATIVE,1.5354741232241254
2026-08-18,PHYSIOTHERAPY,30.46965980087002
2026-08-18,PRIVATE CLINIC,26.785869282677595
2026-08-18,PSYCHOLOGY,9.357494595753144
2026-08-18,RENAL,101.97889850489383
2026-08-18,SPECIALITY CLINIC,114.80464951642595
2026-08-18,TELEMEDICINE,13.63427708639126
2026-08-25,ADMISSION,267.70864780233774
2026-08-25,Audiology,12.145314550125384
2026-08-25,CARDIOLOGY,1.0389862622685897
2026-08-25,CASUALTY,34.74961385300988
2026-08-25,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),235.79157568703147
2026-08-25,DAYCASE,52.54324061493587
2026-08-25,DENTAL,93.3066453967694
2026-08-25,DIABETIC CLINIC,0.8504455386615071
2026-08-25,EYE CLINIC,56.4508604056624
2026-08-25,FAMILY CLINIC,1.2770548746901866
2026-08-25,FAMILY MEDICINE,1.579930965894405
2026-08-25,GENERAL OPD ,784.9522080800884
2026-08-25,Gen Surg OPD,43.94951182310045
2026-08-25,Gynae OPD,1.0907235589901698
2026-08-25,MATERNITY NURSERY,0.8619063213497399
2026-08-25,MCH,270.18810609343166
2026-08-25,MEB SPECIALITY CLINIC,257.72570081116504
2026-08-25,MORGUE,1.2358462126448786
2026-08-25,NEURO SURGERY CONSULTATION,0.8154384931520912
2026-08-25,NEUROSURGERY,27.747114482644463
2026-08-25,NUTRITION,7.910225241580528
2026-08-25,OCCUPATIONAL THERAPY,5.721620571650016
2026-08-25,OHNS,65.64854829741247
2026-08-25,ONCOLOGY,125.7948453110688
2026-08-25,Ortho OPD,2.007203038326896
2026-08-25,PAEDS BKKH,90.7119949681309
2026-08-25,PALLIATIVE,1.5290825450166268
2026-08-25,PHYSIOTHERAPY,29.748276421105224
2026-08-25,PRIVATE CLINIC,26.19654998952472
2026-08-25,PSYCHOLOGY,9.603390382489264
2026-08-25,RENAL,103.69593487721455
2026-08-25,SPECIALITY CLINIC,116.7405884905302
2026-08-25,TELEMEDICINE,13.10978701127801
2026-09-01,ADMISSION,301.17086851717625
2026-09-01,Audiology,12.44948382255415
2026-09-01,CARDIOLOGY,1.0410244185602395
2026-09-01,CASUALTY,38.43585755987332
2026-09-01,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),247.76238927989937
2026-09-01,DAYCASE,55.40828042041079
2026-09-01,DENTAL,96.18349098404374
2026-09-01,DIABETIC CLINIC,0.8484286256850635
2026-09-01,EYE CLINIC,56.18352330036832
2026-09-01,FAMILY CLINIC,1.280224353528208
2026-09-01,FAMILY MEDICINE,1.5800189623832774
2026-09-01,GENERAL OPD ,770.6728066466083
2026-09-01,Gen Surg OPD,48.72773760547585
2026-09-01,Gynae OPD,1.089878946244481
2026-09-01,MATERNITY NURSERY,0.8620747504711007
2026-09-01,MCH,291.6622477065157
2026-09-01,MEB SPECIALITY CLINIC,254.53961650135855
2026-09-01,MORGUE,1.2360003317494554
2026-09-01,NEURO SURGERY CONSULTATION,0.8153784349444244
2026-09-01,NEUROSURGERY,26.9744510405001
2026-09-01,NUTRITION,8.424095590348493
2026-09-01,OCCUPATIONAL THERAPY,6.112986809074462
2026-09-01,OHNS,65.1326866472584
2026-09-01,ONCOLOGY,116.36178067627412
2026-09-01,Ortho OPD,1.999743532837998
2026-09-01,PAEDS BKKH,90.07643517663624
2026-09-01,PALLIATIVE,1.5226909668091282
2026-09-01,PHYSIOTHERAPY,29.32753214621272
2026-09-01,PRIVATE CLINIC,26.293936911170007
2026-09-01,PSYCHOLOGY,10.48154530893684
2026-09-01,RENAL,101.74931032375363
2026-09-01,SPECIALITY CLINIC,116.88081207574928
2026-09-01,TELEMEDICINE,13.413547309954383
2026-09-08,ADMISSION,308.7941982627178
2026-09-08,Audiology,12.434970777659816
2026-09-08,CARDIOLOGY,1.0430625748518896
2026-09-08,CASUALTY,35.09582419648062
2026-09-08,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),252.06573191347064
2026-09-08,DAYCASE,52.60674405236757
2026-09-08,DENTAL,98.58642304175304
2026-09-08,DIABETIC CLINIC,0.8464117127086198
2026-09-08,EYE CLINIC,54.49181405162472
2026-09-08,FAMILY CLINIC,1.2833938323662293
2026-09-08,FAMILY MEDICINE,1.58010695887215
2026-09-08,GENERAL OPD ,776.8673346968958
2026-09-08,Gen Surg OPD,47.04240682800605
2026-09-08,Gynae OPD,1.0890343334987915
2026-09-08,MATERNITY NURSERY,0.8622431795924616
2026-09-08,MCH,258.3379157394111
2026-09-08,MEB SPECIALITY CLINIC,264.54718306577183
2026-09-08,MORGUE,1.2361544508540323
2026-09-08,NEURO SURGERY CONSULTATION,0.8153183767367576
2026-09-08,NEUROSURGERY,27.169624899446177
2026-09-08,NUTRITION,8.002375465374772
2026-09-08,OCCUPATIONAL THERAPY,6.245326595499575
2026-09-08,OHNS,65.88099599540365
2026-09-08,ONCOLOGY,127.66038223169905
2026-09-08,Ortho OPD,1.9922840273491
2026-09-08,PAEDS BKKH,86.39990799482413
2026-09-08,PALLIATIVE,1.5162993886016296
2026-09-08,PHYSIOTHERAPY,29.692751284723144
2026-09-08,PRIVATE CLINIC,26.283965617553367
2026-09-08,PSYCHOLOGY,10.244670880115976
2026-09-08,RENAL,99.80133332575404
2026-09-08,SPECIALITY CLINIC,124.28405280208092
2026-09-08,TELEMEDICINE,13.603215190447
